symbol,timestamp,open,high,low,close,volume,trade_count,vwap
OPRX,2024-03-07 05:00:00+00:00,15.74,16.165,15.3773,16.16,53264.0,1517.0,16.01984
NKSH,2024-03-07 05:00:00+00:00,33.2,33.49,33.16,33.49,6760.0,308.0,33.396901
QLI,2024-03-07 05:00:00+00:00,0.547,0.547,0.539,0.547,7033.0,74.0,0.540806
QRHC,2024-03-07 05:00:00+00:00,6.98,7.15,6.96,7.07,18102.0,305.0,7.085892
REPL,2024-03-07 05:00:00+00:00,9.0,9.03,8.73,8.84,688644.0,7205.0,8.911767
NPCE,2024-03-07 05:00:00+00:00,14.1,14.955,13.5801,14.13,70449.0,1709.0,14.361513
PIXY,2024-03-07 05:00:00+00:00,3.85,3.9999,3.05,3.2,81926.0,1067.0,3.353029
MDAI,2024-03-07 05:00:00+00:00,2.3,2.4,2.09,2.24,696949.0,2751.0,2.212803
MITA,2024-03-07 05:00:00+00:00,10.74,10.74,10.74,10.74,488.0,5.0,10.74
NYMTN,2024-03-07 05:00:00+00:00,22.25,22.3,22.17,22.175,7181.0,109.0,22.232431
OLB,2024-03-07 05:00:00+00:00,0.685,0.725,0.6718,0.6718,18430.0,132.0,0.698072
PGNY,2024-03-07 05:00:00+00:00,33.99,35.09,33.85,34.56,935018.0,12207.0,34.711578
MHUA,2024-03-07 05:00:00+00:00,0.7262,0.7636,0.72,0.7599,97355.0,342.0,0.74157
MMV,2024-03-07 05:00:00+00:00,0.863,0.95,0.7202,0.9292,158158.0,835.0,0.840091
PLAO,2024-03-07 05:00:00+00:00,11.28,11.28,11.28,11.28,547.0,11.0,11.279963
MLAB,2024-03-07 05:00:00+00:00,113.02,114.98,113.02,114.1,23277.0,1499.0,114.04281
NVVEW,2024-03-07 05:00:00+00:00,0.0312,0.0315,0.029,0.0315,2843.0,14.0,0.030571
MKSI,2024-03-07 05:00:00+00:00,128.75,133.75,128.75,133.36,667241.0,16689.0,132.637641
NWTN,2024-03-07 05:00:00+00:00,3.13,3.39,3.0301,3.12,57306.0,353.0,3.162533
